,index,Unnamed: 0,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Washability,Dismountability,Shape,Handle,name
0,0,0,metal,grey,862,2160.0,40,27,2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
1,1,1,metal,other,750,1214.4,46,33,0.8,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
2,2,2,metal,other,224,1472.0,32,23,2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
3,3,3,metal,black,940,15000.0,20,30,25,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
4,4,4,metal,silver,458,1968.75,31.5,25,2.5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
5,5,5,metal,other,920,3000.0,30,20,5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
6,6,6,metal,other,1210.0,4448.5,41,31,3.5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
7,7,7,metal,silver,358,3234.0,38.5,28,3,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
8,8,8,metal,gold,570,149.67040000000003,12.8,10.63,1.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
9,9,9,metal,silver,670,4127.1106,39.4,33.79,3.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
10,10,10,metal,other,210,1354.5,31.5,21.5,2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
11,11,11,metal,other,1260.0,6798.024,35.9,26.3,7.2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
12,12,12,metal,grey,520,3828.0,29,44,3,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
13,13,13,metal,grey,390,2720.0,40,34,2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
14,14,14,metal,black,860,4488.0,34,33,4,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
15,15,15,metal,other,440,1679.524,28.7,20.9,2.8,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
16,16,16,metal,grey,530,960.0,32,30,1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
17,17,17,metal,other,927,4089.174,33.1,21.3,5.8,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
18,18,18,metal,black,1200.0,9094.4,40.6,28,8,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
19,19,19,metal,other,560,321.16586400000006,12.59,11.81,2.16,kitchenware,0,0,1,1,0,circular,0,bakingtray
20,20,20,metal,silver,210,1354.32,32.4,22,1.9,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
21,21,21,metal,other,260,2511.432,28,27.18,3.3,kitchenware,0,0,1,1,0,circular,0,bakingtray
22,22,22,metal,other,380,2425.92,38,26.6,2.4,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
23,23,23,silicone,other,441,5010.75,37.5,26.2,5.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
24,24,24,metal,other,845,1000.0,40.1,27,2.2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
25,25,25,metal,gold,1060.0,2596.776,31.2,20.3,4.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
26,26,26,metal,grey,450,2448.0,34,24,3,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
27,27,27,metal,silver,670,2425.9199999999996,38,30.4,2.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
28,28,28,metal,other,88,338.0,26,26,0.5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
29,29,29,silicone,other,190,2837.538,29.7,28.1,3.4,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
30,30,30,metal,black,790,2666.25,27,39.5,2.5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
31,31,31,metal,grey,290,1000.0,24.2,15.1,2.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
32,32,32,metal,other,580,101.95919999999998,10.2,10.2,0.98,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
33,33,33,metal,silver,360,120.0,40,30,0.1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
34,34,34,metal,black,524,900.0,25,18,2,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
35,35,35,metal,other,160,920,18.5,18.5,4.4,kitchenware,0,0,1,1,0,circular,0,bakingtray
36,36,36,silicone,other,130,1914.0,29,22,3,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
37,37,37,metal,other,868,981.7500000000001,27.5,35.7,1,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
38,38,38,silicone,yellow,182,2752.725,28.9,12.7,7.5,kitchenware,0,0,1,1,0,rectangular,0,bakingtray
