,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Movability,Washability,Dismountability,Shape,Handle,name
0,metal,grey,862g,other,40,27,2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
1,metal,other,750g,other,46,33,0.8,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
2,metal,other,224g,other,32,23,2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
3,metal,black,940g,other,20,30,25,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
4,metal,silver,458g,other,31.5,25,2.5,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
5,metal,other,920g,other,30,20,5,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
6,metal,other,1.21kg,other,41,31,3.5,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
7,metal,silver,358g,other,38.5,28,3,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
8,metal,gold,570g,other,12.8,10.63,1.1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
9,metal,silver,670g,other,39.4,33.79,3.1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
10,metal,other,other,other,31.5,21.5,2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
11,metal,other,1.26kg,other,35.9,26.3,7.2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
12,metal,grey,520g,other,29,44,3,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
13,metal,grey,390g,other,40,34,2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
14,metal,black,860g,other,34,33,4,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
15,metal,other,440g,other,28.7,20.9,2.8,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
16,metal,grey,530g,other,32,30,1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
17,metal,other,927g,other,33.1,21.3,5.8,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
18,metal,black,1.2kg,other,40.6,28,8,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
19,metal,other,560g,other,12.59,11.81,2.16,kitchenware,0,0,1,1,1,0,circular,0,bakingtray
20,metal,silver,other,other,32.4,22,1.9,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
21,metal,other,260g,other,28,27.18,3.3,kitchenware,0,0,1,1,1,0,circular,0,bakingtray
22,metal,other,380g,other,38,26.6,2.4,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
23,silicone,other,441g,other,37.5,26.2,5.1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
24,metal,other,845g,1L,40.1,27,2.2,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
25,metal,gold,1.06kg,other,31.2,20.3,4.1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
26,metal,grey,450g,other,34,24,3,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
27,metal,silver,670g,other,38,30.4,2.1,kitchenware,0,0,1,1,1,0,rectangular,0,bakingtray
