,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Washability,Dismountability,Shape,Handle,name
0,1,1,26,60,62,64,5,1,1,1,2,2,1,1,1,1
1,1,2,23,58,71,79,3,1,1,1,2,2,1,1,1,1
2,1,2,8,59,51,55,5,1,1,1,2,2,1,1,1,1
3,1,3,28,83,33,72,63,1,1,1,2,2,1,1,1,1
4,1,4,13,60,50,59,6,1,1,1,2,2,1,1,1,1
5,1,2,27,61,47,49,14,1,1,1,2,2,1,1,1,1
6,1,2,35,66,63,75,9,1,1,1,2,2,1,1,1,1
7,1,4,11,62,60,66,8,1,1,1,2,2,1,1,1,1
8,1,5,15,46,24,26,3,1,1,1,2,2,1,1,1,1
9,1,4,20,64,61,80,8,1,1,1,2,2,1,1,1,1
10,1,2,7,59,50,52,5,1,1,1,2,2,1,1,1,1
11,1,2,36,73,56,63,20,1,1,1,2,2,1,1,1,1
12,1,1,14,63,45,94,8,1,1,1,2,2,1,1,1,1
13,1,1,12,61,62,81,5,1,1,1,2,2,1,1,1,1
14,1,3,26,66,53,79,10,1,1,1,2,2,1,1,1,1
15,1,2,13,59,45,51,7,1,1,1,2,2,1,1,1,1
16,1,1,15,58,51,72,3,1,1,1,2,2,1,1,1,1
17,1,2,28,64,52,52,16,1,1,1,2,2,1,1,1,1
18,1,3,34,76,63,66,22,1,1,1,2,2,1,1,1,1
19,1,2,15,56,24,30,5,1,1,1,2,2,1,2,1,1
20,1,4,7,59,51,53,5,1,1,1,2,2,1,1,1,1
21,1,2,9,60,44,64,9,1,1,1,2,2,1,2,1,1
22,1,2,11,60,60,63,6,1,1,1,2,2,1,1,1,1
23,2,2,13,67,59,62,14,1,1,1,2,2,1,1,1,1
24,1,2,26,58,62,64,5,1,1,1,2,2,1,1,1,1
25,1,5,31,61,49,50,11,1,1,1,2,2,1,1,1,1
26,1,1,13,60,53,57,8,1,1,1,2,2,1,1,1,1
27,1,4,20,60,60,73,5,1,1,1,2,2,1,1,1,1
28,1,2,3,56,41,62,2,1,1,1,2,2,1,1,1,1
29,2,2,7,61,46,66,9,1,1,1,2,2,1,1,1,1
30,1,3,24,61,43,90,6,1,1,1,2,2,1,1,1,1
31,1,1,9,58,39,38,5,1,1,1,2,2,1,1,1,1
32,1,2,16,40,20,25,3,1,1,1,2,2,1,1,1,1
33,1,4,11,43,62,72,1,1,1,1,2,2,1,1,1,1
34,1,3,14,58,40,44,5,1,1,1,2,2,1,1,1,1
35,1,2,6,58,31,45,12,1,1,1,2,2,1,2,1,1
36,2,2,5,59,45,53,8,1,1,1,2,2,1,1,1,1
37,1,2,26,58,43,84,3,1,1,1,2,2,1,1,1,1
38,2,6,6,61,45,31,21,1,1,1,2,2,1,1,1,1
39,1,3,31,68,72,86,8,1,1,1,2,2,1,1,1,1
40,1,3,12,68,65,75,10,1,1,1,2,2,1,1,1,1
41,1,2,20,60,60,64,5,1,1,1,2,2,1,1,1,1
42,3,1,36,77,66,95,14,1,1,1,2,2,1,1,1,1
43,2,7,6,60,47,55,9,1,1,1,2,2,1,1,1,1
44,1,2,11,59,60,59,5,1,1,1,2,2,1,1,1,1
45,1,5,15,61,54,63,8,1,1,1,2,2,1,1,1,1
46,1,1,14,60,51,77,5,1,1,1,2,2,1,1,1,1
