,color,weight,movability,material,shape,size,name,picking,powering,disassembly
0,1,2,1,1,1,2,13,1,1,1
1,2,1,1,2,2,1,15,2,1,1
2,3,3,2,2,2,3,9,2,1,2
3,4,2,1,2,3,2,18,1,1,3
4,5,1,1,3,2,2,20,1,1,1
5,1,2,1,1,3,2,11,2,1,1
6,6,2,1,2,3,2,18,1,1,3
7,4,1,1,2,3,2,16,1,1,1
8,7,2,1,1,3,2,11,2,1,1
9,5,1,1,3,2,2,20,1,1,1
10,8,2,1,1,3,2,11,2,1,1
11,8,1,1,4,3,1,8,1,1,1
12,9,2,1,1,4,1,3,1,1,1
13,2,3,2,2,5,3,19,3,2,2
14,5,2,1,3,4,2,3,1,1,1
15,2,3,1,2,3,2,14,2,1,3
16,5,1,1,3,3,2,8,1,1,1
17,5,2,1,3,4,2,3,1,1,1
18,3,2,1,2,3,2,18,1,1,3
19,2,1,1,2,6,1,7,1,1,1
20,5,1,1,3,3,2,8,1,1,1
21,2,1,1,2,6,1,10,1,1,1
22,3,1,1,2,3,2,16,1,1,1
23,7,2,1,1,3,2,11,2,1,1
24,2,1,1,2,6,1,7,1,1,1
25,9,1,1,4,6,1,17,1,1,1
26,10,1,1,2,3,2,16,1,1,1
27,5,1,1,3,2,2,20,1,1,1
28,2,1,1,2,3,2,18,1,1,3
29,2,1,1,2,6,1,7,1,1,1
30,5,1,1,3,5,2,8,1,1,1
31,2,3,1,2,3,2,14,2,1,3
32,9,1,1,4,6,1,10,1,1,1
33,7,3,2,4,3,3,5,3,2,3
34,2,1,1,2,6,1,7,1,1,1
35,3,3,2,4,3,3,2,3,2,3
36,10,2,1,5,5,3,4,1,1,1
37,2,1,1,2,6,1,10,1,1,1
38,7,1,1,2,2,1,15,2,1,1
39,9,1,1,4,6,1,17,1,1,1
40,9,3,2,4,2,3,5,3,2,3
41,2,3,1,2,3,2,14,2,1,3
42,3,1,1,4,3,2,8,1,1,1
43,2,3,2,2,5,3,19,3,2,2
44,5,1,1,3,3,2,8,1,1,1
45,7,3,2,4,3,3,5,3,2,3
46,5,1,1,3,2,2,20,1,1,1
47,8,2,1,1,3,2,11,2,1,1
48,2,1,1,2,2,1,15,2,1,1
49,2,1,1,2,6,1,7,1,1,1
50,9,1,1,4,6,1,10,1,1,1
51,10,3,2,4,2,3,2,3,2,3
52,10,1,1,6,5,3,4,1,1,1
53,5,1,1,3,3,2,8,1,1,1
54,5,1,1,3,2,2,20,1,1,1
55,9,1,1,4,6,1,10,1,1,1
56,7,2,1,1,3,2,11,2,1,1
57,8,3,2,2,5,3,19,3,2,2
58,10,3,2,4,2,3,2,3,2,3
59,2,1,1,2,6,1,10,1,1,1
60,1,2,1,2,3,2,18,1,1,3
61,5,1,1,3,3,2,8,1,1,1
62,4,1,1,2,3,2,16,1,1,1
63,7,2,1,1,3,2,11,2,1,1
64,2,1,1,2,6,1,7,1,1,1
65,11,1,1,2,1,3,1,1,1,1
66,5,1,1,3,2,2,20,1,1,1
67,5,1,1,3,2,2,20,1,1,1
68,2,3,2,2,5,3,19,3,2,2
69,8,2,1,4,4,2,3,1,1,1
70,5,1,1,3,3,2,8,1,1,1
71,5,1,1,3,3,2,8,1,1,1
72,2,1,1,2,3,2,18,1,1,3
73,10,2,1,5,5,3,4,1,1,1
74,7,1,1,2,2,1,15,2,1,1
75,8,2,1,1,3,2,11,2,1,1
76,2,1,1,2,3,2,18,1,1,3
77,8,3,2,2,5,3,19,3,2,2
78,2,1,1,2,6,1,17,1,1,1
79,2,1,1,2,6,1,17,1,1,1
80,5,1,1,3,2,2,20,1,1,1
81,2,1,1,2,6,1,17,1,1,1
82,1,1,1,2,3,2,16,1,1,1
83,2,1,1,2,6,1,7,1,1,1
84,5,1,1,3,2,2,20,1,1,1
85,8,2,1,2,3,2,18,1,1,3
86,7,1,1,2,2,1,15,2,1,1
87,2,1,1,2,3,2,18,1,1,3
88,6,2,1,2,3,2,18,1,1,3
89,10,2,1,5,2,3,4,1,1,1
90,5,1,1,3,2,2,20,1,1,1
91,2,1,1,2,2,1,15,2,1,1
92,10,2,1,2,2,3,12,2,1,2
93,1,2,1,4,4,2,3,1,1,1
94,5,1,1,3,2,2,20,1,1,1
95,2,1,1,2,6,1,10,1,1,1
96,10,1,1,2,3,2,16,1,1,1
97,5,1,1,3,3,2,8,1,1,1
