Unnamed: 0,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Washability,Dismountability,Shape,Handle,name
105,1,1,2,2,3,1,2,1,1,1,1,1,1,1,2,1
106,1,1,2,2,1,1,4,1,1,1,1,1,1,1,2,1
125,1,1,4,2,3,2,1,1,1,1,1,1,1,1,2,1
126,1,1,12,2,1,1,1,1,1,1,1,1,1,1,2,1
295,1,1,5,3,4,4,1,1,1,1,1,1,1,1,2,1
296,1,10,30,3,4,3,1,1,1,1,1,1,1,1,2,1
300,1,1,6,3,1,3,5,1,1,1,1,1,1,1,2,1
372,1,1,3,3,2,2,1,1,1,1,1,1,1,1,2,1
373,1,1,5,3,4,3,1,1,1,1,1,1,1,1,2,1
374,1,1,6,3,4,3,1,1,1,1,1,1,1,1,2,1
375,1,1,6,3,4,3,1,1,1,1,1,1,1,1,2,1
377,1,1,5,3,4,1,2,1,1,1,1,1,1,1,2,1
378,1,1,5,3,4,1,2,1,1,1,1,1,1,1,2,1
379,1,1,6,3,4,1,2,1,1,1,1,1,1,1,2,1
380,1,1,6,3,2,1,5,1,1,1,1,1,1,1,2,1
386,2,7,4,3,3,2,1,1,1,1,1,1,1,1,2,1
388,1,1,12,3,3,1,1,1,1,1,1,1,1,1,2,1
392,1,1,6,3,3,3,1,1,1,1,1,1,1,1,2,1
393,1,1,6,3,3,3,1,1,1,1,1,1,1,1,2,1
394,1,1,6,3,3,3,1,1,1,1,1,1,1,1,2,1
395,1,1,7,3,5,4,1,1,1,1,1,1,1,1,2,1
397,1,7,6,3,2,1,5,1,1,1,1,1,1,1,2,1
421,1,1,4,3,3,1,1,1,1,1,1,1,1,1,2,1
422,1,1,5,3,2,6,1,1,1,1,1,1,1,1,2,1
423,1,1,4,3,3,3,1,1,1,1,1,1,1,1,2,1
424,1,1,4,3,3,3,1,1,1,1,1,1,1,1,2,1
425,1,1,4,3,3,3,1,1,1,1,1,1,1,1,2,1
426,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,1
427,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,1
